Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,1298279,1298279,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,2792,2792,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,896509,896509,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,1035,1035,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,368333,368333,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,29610,29610,,0
H0,1998,1998,1998,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,315721,,315721,0
H0,1998,1998,1998,6,1,0,X,598,Papua New Guinea,PNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,315721,,315721,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,897644,-1,N/A,,843249,,440917,440917,,6
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8533,-1,N/A,,8016,,4191,4191,,6
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,720097,-1,N/A,,676461,,353707,353707,,6
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,108240,-1,N/A,,101681,,53167,53167,,6
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,44935,-1,N/A,,42212,,22072,22072,,6
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15838,-1,N/A,,14879,,7780,7780,,6
H0,2000,2000,2000,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5400,-1,N/A,,4449,,2377,,2377,6
H0,2000,2000,2000,6,1,0,X,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5400,-1,N/A,,4449,,2377,,2377,6
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,145414,-1,N/A,,136314,,79019,79019,,6
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17918,-1,N/A,,16797,,9737,9737,,6
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,123692,-1,N/A,,115952,,67215,67215,,6
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3804,-1,N/A,,3566,,2067,2067,,6
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4,-1,N/A,,1495,,904,904,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,-1,N/A,,1142,,690,690,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,-1,N/A,,353,,213,213,,4
H2,2002,2002,2002,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1618800,-1,N/A,,462431,,294042,,294042,4
H2,2002,2002,2002,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,342000,-1,N/A,,51610,,32817,,32817,4
H2,2002,2002,2002,6,1,0,X,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1276800,-1,N/A,,410821,,261225,,261225,4
H2,2003,2003,2003,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,177582,-1,N/A,,136457,,89167,89167,,6
H2,2003,2003,2003,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,63180,-1,N/A,,48549,,31724,31724,,6
H2,2003,2003,2003,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,114401,-1,N/A,,87908,,57443,57443,,6
H2,2003,2003,2003,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,534169,-1,N/A,,354768,,248759,,248759,6
H2,2003,2003,2003,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,479388,-1,N/A,,318385,,223248,,223248,6
H2,2003,2003,2003,6,1,0,X,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,54781,-1,N/A,,36383,,25511,,25511,6
H2,2004,2004,2004,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,9311,-1,N/A,,43124,,30116,30116,,4
H2,2004,2004,2004,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1541,-1,N/A,,2421,,1691,1691,,4
H2,2004,2004,2004,6,1,0,M,598,Papua New Guinea,PNG,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7770,-1,N/A,,40703,,28425,28425,,4
H2,2004,2004,2004,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,657819,-1,N/A,,197268,,139013,,139013,4
H2,2004,2004,2004,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,642219,-1,N/A,,186772,,131617,,131617,4
H2,2004,2004,2004,6,1,0,X,598,Papua New Guinea,PNG,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15600,-1,N/A,,10496,,7396,,7396,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,77222,-1,N/A,,448662,,435990,435990,,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,60006,-1,N/A,,110947,,107814,107814,,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,480,-1,N/A,,94114,,91456,91456,,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16575,-1,N/A,,196383,,190837,190837,,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,-1,N/A,,58,,56,56,,4
H3,2011,2011,2011,6,1,0,M,598,Papua New Guinea,PNG,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,160,-1,N/A,,47160,,45828,45828,,4
H3,2011,2011,2011,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2257915,-1,N/A,,943803,,935813,,935813,4
H3,2011,2011,2011,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1912115,-1,N/A,,726883,,720729,,720729,4
H3,2011,2011,2011,6,1,0,X,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,345800,-1,N/A,,216920,,215084,,215084,4
H4,2012,2012,2012,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,244,-1,N/A,,,,48064,48064,,0
H4,2012,2012,2012,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4,-1,N/A,,,,107,107,,0
H4,2012,2012,2012,6,1,0,M,598,Papua New Guinea,PNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,240,-1,N/A,,,,47957,47957,,0
H4,2012,2012,2012,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1499100,-1,N/A,,,,955196,,955196,0
H4,2012,2012,2012,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1035500,-1,N/A,,,,641450,,641450,0
H4,2012,2012,2012,6,1,0,X,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,463600,-1,N/A,,,,313746,,313746,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,634346,-1,N/A,,586814,,3999536,3999536,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,382404,-1,N/A,,353750,,1124375,1124375,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,128389,-1,N/A,,118769,,186685,186685,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,24,-1,N/A,,22,,1429,1429,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,31910,-1,N/A,,29519,,1267834,1267834,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,802,-1,N/A,,742,,5603,5603,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,193,-1,N/A,,179,,2059,2059,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,59,-1,N/A,,55,,672,672,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,494,-1,N/A,,457,,5946,5946,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,44552,-1,N/A,,41214,,127747,127747,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,28738,-1,N/A,,26585,,1097701,1097701,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,6418,-1,N/A,,5937,,33947,33947,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,792,Turkey,TUR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,92,-1,N/A,,85,,2733,2733,,0
H0,1998,1998,1998,6,1,0,M,598,Papua New Guinea,PNG,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,10270,-1,N/A,,9500,,142805,142805,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,765755,-1,N/A,,,,2813894,2813894,,2
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,174890,-1,N/A,,,,1044408,1044408,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,36,-1,N/A,,,,139,139,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,158968,-1,N/A,,,,1263283,1263283,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,401761,-1,N/A,,,,299837,299837,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,161,-1,N/A,,,,2436,2436,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,16173,-1,N/A,,,,128126,128126,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,612,Pitcairn,PCN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,3,-1,N/A,,,,12,12,,2
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,690,Seychelles,SYC,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,78,-1,N/A,,,,471,471,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,10740,-1,N/A,,,,55014,55014,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,760,Syria,SYR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,78,-1,N/A,,,,471,471,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2607,-1,N/A,,,,12456,12456,,0
H0,2000,2000,2000,6,1,0,M,598,Papua New Guinea,PNG,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,260,-1,N/A,,,,7241,7241,,0
H0,2000,2000,2000,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,,-1,N/A,,,,100740,,100740,0
H0,2000,2000,2000,6,1,0,X,598,Papua New Guinea,PNG,612,Pitcairn,PCN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,,-1,N/A,,,,100740,,100740,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,238437,-1,N/A,,,,912334,912334,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,73670,-1,N/A,,,,467980,467980,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,105000,-1,N/A,,,,121565,121565,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,43566,-1,N/A,,,,175001,175001,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,34,-1,N/A,,,,461,461,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,3890,-1,N/A,,,,103142,103142,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,5550,-1,N/A,,,,20095,20095,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,48,-1,N/A,,,,717,717,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,172,-1,N/A,,,,2569,2569,,0
H0,2001,2001,2001,6,1,0,M,598,Papua New Guinea,PNG,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,6507,-1,N/A,,,,20803,20803,,0
H0,2001,2001,2001,6,1,0,X,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,9514,-1,N/A,,,,11966,,11966,0
H0,2001,2001,2001,6,1,0,X,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,54,-1,N/A,,,,1787,,1787,0
H0,2001,2001,2001,6,1,0,X,598,Papua New Guinea,PNG,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,9460,-1,N/A,,,,10179,,10179,0
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,259777,-1,N/A,,240293,,374138,374138,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,254500,-1,N/A,,235413,,344575,344575,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4400,-1,N/A,,4070,,21912,21912,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,436,-1,N/A,,403,,5907,5907,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,0,-1,N/A,,,,8,8,,4
H2,2002,2002,2002,6,1,0,M,598,Papua New Guinea,PNG,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,440,-1,N/A,,407,,1736,1736,,4
