Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1978524,-1,N/A,,1978524,,1307862,1307862,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9937,-1,N/A,,9937,,27959,27959,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,738,-1,N/A,,738,,5869,5869,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,84238,-1,N/A,,84238,,386825,386825,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,616,Poland,POL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1725500,-1,N/A,,1725500,,753110,753110,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,158109,-1,N/A,,158109,,133852,133852,,0
H0,1991,1991,1991,6,1,0,M,788,Tunisia,TUN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2,-1,N/A,,2,,247,247,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1198205,-1,N/A,,1198205,,522064,522064,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2250,-1,N/A,,2250,,10411,10411,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,656,-1,N/A,,656,,5310,5310,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1037500,-1,N/A,,1037500,,369953,369953,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,61,-1,N/A,,61,,922,922,,0
H0,1992,1992,1992,6,1,0,M,788,Tunisia,TUN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,157738,-1,N/A,,157738,,135468,135468,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1919018,-1,N/A,,1919018,,838353,838353,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1001750,-1,N/A,,1001750,,353524,353524,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9437,-1,N/A,,9437,,27794,27794,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,855,-1,N/A,,855,,5901,5901,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,906937,-1,N/A,,906937,,450606,450606,,0
H0,1993,1993,1993,6,1,0,M,788,Tunisia,TUN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,39,-1,N/A,,39,,528,528,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2077771,-1,N/A,,2077771,,1298605,1298605,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,851562,-1,N/A,,851562,,601427,601427,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,527,-1,N/A,,527,,3074,3074,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,316,-1,N/A,,316,,886,886,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1068875,-1,N/A,,1068875,,561110,561110,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,156480,-1,N/A,,156480,,132103,132103,,0
H0,1994,1994,1994,6,1,0,M,788,Tunisia,TUN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,11,-1,N/A,,11,,5,5,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3487693,-1,N/A,,3487693,,2166729,2166729,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1058625,-1,N/A,,1058625,,581464,581464,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1187,-1,N/A,,1187,,12574,12574,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,847,-1,N/A,,847,,5609,5609,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2119125,-1,N/A,,2119125,,1237225,1237225,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,722,-1,N/A,,722,,8959,8959,,0
H0,1995,1995,1995,6,1,0,M,788,Tunisia,TUN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,307187,-1,N/A,,307187,,320898,320898,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1958474,-1,N/A,,1958474,,1232381,1232381,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,156480,-1,N/A,,156480,,130429,130429,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3750,-1,N/A,,3750,,12926,12926,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1062,-1,N/A,,1062,,4687,4687,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,967750,-1,N/A,,967750,,529460,529460,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,296,-1,N/A,,296,,1123,1123,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,199,-1,N/A,,199,,2763,2763,,0
H0,1996,1996,1996,6,1,0,M,788,Tunisia,TUN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,828937,-1,N/A,,828937,,550993,550993,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2109029,-1,N/A,,2109029,,1030762,1030762,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,156480,-1,N/A,,156480,,126335,126335,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2375,-1,N/A,,2375,,22031,22031,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,761,-1,N/A,,761,,5267,5267,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,910875,-1,N/A,,910875,,433317,433317,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,97,-1,N/A,,97,,977,977,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1038250,-1,N/A,,1038250,,440406,440406,,0
H0,1997,1997,1997,6,1,0,M,788,Tunisia,TUN,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,191,-1,N/A,,191,,2429,2429,,0
H0,1997,1997,1997,6,1,0,X,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3,-1,N/A,,3,,65,,65,0
H0,1997,1997,1997,6,1,0,X,788,Tunisia,TUN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3,-1,N/A,,3,,65,,65,0
H0,1998,1998,1998,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,808,-1,N/A,,808,,6786,6786,,0
H0,1998,1998,1998,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,808,-1,N/A,,808,,6786,6786,,0
H0,1999,1999,1999,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1342,-1,N/A,,1342,,10950,10950,,0
H0,1999,1999,1999,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,507,-1,N/A,,507,,4003,4003,,0
H0,1999,1999,1999,6,1,0,M,788,Tunisia,TUN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,500,-1,N/A,,500,,1807,1807,,0
H0,1999,1999,1999,6,1,0,M,788,Tunisia,TUN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,269,-1,N/A,,269,,5099,5099,,0
H0,1999,1999,1999,6,1,0,M,788,Tunisia,TUN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,66,-1,N/A,,66,,41,41,,0
H1,2000,2000,2000,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17398,-1,N/A,,7049,,8546,8546,,2
H1,2000,2000,2000,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16460,-1,N/A,,6959,,8085,8085,,2
H1,2000,2000,2000,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,938,-1,N/A,,90,,461,461,,2
H1,2001,2001,2001,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23900,-1,N/A,,11732,,14989,14989,,0
H1,2001,2001,2001,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23900,-1,N/A,,11732,,14989,14989,,0
H2,2002,2002,2002,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3158400,-1,N/A,,1397912,,1287262,1287262,,0
H2,2002,2002,2002,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,280700,-1,N/A,,8300,,20855,20855,,0
H2,2002,2002,2002,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,100,-1,N/A,,30,,595,595,,0
H2,2002,2002,2002,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2482000,-1,N/A,,1076622,,1027815,1027815,,0
H2,2002,2002,2002,6,1,0,M,788,Tunisia,TUN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,395600,-1,N/A,,312960,,237996,237996,,0
H2,2003,2003,2003,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2912600,-1,N/A,,2528833,,1342783,1342783,,0
H2,2003,2003,2003,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6400,-1,N/A,,8363,,17806,17806,,0
H2,2003,2003,2003,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,100,-1,N/A,,79,,2348,2348,,0
H2,2003,2003,2003,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2510500,-1,N/A,,2207391,,1093792,1093792,,0
H2,2003,2003,2003,6,1,0,M,788,Tunisia,TUN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,395600,-1,N/A,,313000,,228837,228837,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4468400,-1,N/A,,3897002,,2427217,2427217,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,60,,565,565,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18800,-1,N/A,,17859,,44160,44160,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2800,-1,N/A,,650,,4211,4211,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,400,-1,N/A,,40,,89,89,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4075600,-1,N/A,,3585648,,2122955,2122955,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,369700,-1,N/A,,292160,,253509,253509,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,578,,1122,1122,,0
H2,2004,2004,2004,6,1,0,M,788,Tunisia,TUN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,700,-1,N/A,,7,,606,606,,0
H2,2004,2004,2004,6,1,0,X,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3200,-1,N/A,,2668,,4113,,4113,0
H2,2004,2004,2004,6,1,0,X,788,Tunisia,TUN,434,Libya,LBY,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3200,-1,N/A,,2668,,4113,,4113,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4411500,-1,N/A,,2726268,,2940697,2940697,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,272,,1414,1414,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1249800,-1,N/A,,1048122,,751078,751078,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3200,-1,N/A,,2623,,7362,7362,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1500,-1,N/A,,1276,,6082,6082,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2747500,-1,N/A,,1349900,,1841794,1841794,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,408400,-1,N/A,,318690,,324304,324304,,0
H2,2005,2005,2005,6,1,0,M,788,Tunisia,TUN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,900,-1,N/A,,5385,,8663,8663,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3353200,-1,N/A,,2905274,,2436006,2436006,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5000,-1,N/A,,4846,,18353,18353,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2100,-1,N/A,,1778,,6547,6547,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2809800,-1,N/A,,2475362,,1838926,1838926,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,530200,-1,N/A,,418565,,555528,555528,,0
H2,2006,2006,2006,6,1,0,M,788,Tunisia,TUN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6100,-1,N/A,,4723,,16652,16652,,0
H2,2007,2007,2007,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6378992,-1,N/A,,5180290,,4570285,4570285,,2
H2,2007,2007,2007,6,1,0,M,788,Tunisia,TUN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,108335,-1,N/A,,23239,,77618,77618,,2
H2,2007,2007,2007,6,1,0,M,788,Tunisia,TUN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3455,-1,N/A,,427,,2476,2476,,2
H2,2007,2007,2007,6,1,0,M,788,Tunisia,TUN,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4476447,-1,N/A,,3808043,,3207190,3207190,,2
